points,M=17:21,F=17:21,M=22:26,F=22:26,M=27:31,F=27:31,M=32:36,F=32:36,M=37:41,F=37:41,M=42:46,F=42:46,M=47:51,F=47:51,M=52:56,F=52:56,M=57:61,F=57:61,M=62:62,F=62:62
44,00:01:22,00:01:22,00:01:17,00:01:17,00:01:12,00:01:12,00:01:07,00:01:07,00:01:02,00:01:02,00:01:02,00:01:02,00:01:02,00:01:02,00:01:02,00:01:02,00:01:02,00:01:02,00:01:02,00:01:02
43,,,,,,,,,,,,,,,,,,,,
42,00:01:21,00:01:21,00:01:16,00:01:16,00:01:11,00:01:11,00:01:06,00:01:06,00:01:01,00:01:01,00:01:01,00:01:01,00:01:01,00:01:01,00:01:01,00:01:01,00:01:01,00:01:01,00:01:01,00:01:01
41,,,,,,,,,,,,,,,,,,,,
40,00:01:20,00:01:20,00:01:15,00:01:15,00:01:10,00:01:10,00:01:05,00:01:05,00:01:00,00:01:00,00:01:00,00:01:00,00:01:00,00:01:00,00:01:00,00:01:00,00:01:00,00:01:00,00:01:00,00:01:00
39,,,,,,,,,,,,,,,,,,,,
38,00:01:19,00:01:19,00:01:14,00:01:14,00:01:09,00:01:09,00:01:04,00:01:04,00:00:59,00:00:59,00:00:59,00:00:59,00:00:59,00:00:59,00:00:59,00:00:59,00:00:59,00:00:59,00:00:59,00:00:59
37,,,,,,,,,,,,,,,,,,,,
36,00:01:18,00:01:18,00:01:13,00:01:13,00:01:08,00:01:08,00:01:03,00:01:03,00:00:58,00:00:58,00:00:58,00:00:58,00:00:58,00:00:58,00:00:58,00:00:58,00:00:58,00:00:58,00:00:58,00:00:58
35,,,,,,,,,,,,,,,,,,,,
34,00:01:17,00:01:17,00:01:12,00:01:12,00:01:07,00:01:07,00:01:02,00:01:02,00:00:57,00:00:57,00:00:57,00:00:57,00:00:57,00:00:57,00:00:57,00:00:57,00:00:57,00:00:57,00:00:57,00:00:57
33,,,,,,,,,,,,,,,,,,,,
